,TrialNum,Subject,CorResp,accuracy,Resp,RT,Diapo,Age_year,Gender,paper_number
181,542,1010,Image3,1.0,Image3,2391.0,37,23,female,11
182,543,1010,Image6,1.0,Image6,8506.0,14,23,female,13
183,544,1010,Image6,1.0,Image6,9745.0,36,23,female,39
184,545,1010,Image2,1.0,Image2,2029.0,5,23,female,4
185,546,1010,Image5,1.0,Image5,3786.0,40,23,female,12
186,547,1010,Image4,1.0,Image4,6624.0,21,23,female,37
187,548,1010,Image2,1.0,Image2,12320.0,33,23,female,41
190,551,1010,Image4,1.0,Image4,4107.0,3,23,female,6
191,552,1010,Image6,0.0,Image1,11137.0,38,23,female,29
192,553,1010,Image6,1.0,Image6,3033.0,43,23,female,32
193,554,1010,Image4,1.0,Image4,3856.0,23,23,female,19
194,555,1010,Image2,1.0,Image2,1476.0,17,23,female,22
195,556,1010,Image5,1.0,Image5,2992.0,8,23,female,8
196,557,1010,Image3,1.0,Image3,2416.0,24,23,female,18
197,558,1010,Image6,1.0,Image6,9209.0,32,23,female,44
198,559,1010,Image1,1.0,Image1,2550.0,11,23,female,10
199,560,1010,Image4,1.0,Image4,4009.0,27,23,female,42
200,561,1010,Image3,1.0,Image3,2082.0,26,23,female,16
201,562,1010,Image5,1.0,Image5,2216.0,30,23,female,26
202,563,1010,Image6,1.0,Image6,10227.0,34,23,female,45
203,564,1010,Image2,1.0,Image2,1648.0,10,23,female,7
204,565,1010,Image4,0.0,Image2,25859.0,44,23,female,30
205,566,1010,Image3,1.0,Image3,2774.0,42,23,female,28
206,567,1010,Image5,0.0,Image6,8257.0,6,23,female,5
207,568,1010,Image1,1.0,Image1,3048.0,12,23,female,15
208,569,1010,Image5,1.0,Image5,4108.0,13,23,female,21
209,570,1010,Image1,0.0,Image6,4589.0,39,23,female,40
210,571,1010,Image2,1.0,Image2,3588.0,31,23,female,38
211,572,1010,Image1,0.0,Image5,9552.0,19,23,female,36
212,573,1010,Image3,0.0,Image6,4578.0,20,23,female,20
213,574,1010,Image2,1.0,Image2,5388.0,25,23,female,17
214,575,1010,Image6,1.0,Image6,3086.0,16,23,female,31
215,576,1010,Image6,1.0,Image6,2382.0,29,23,female,25
216,577,1010,Image5,1.0,Image5,2371.0,15,23,female,14
217,578,1010,Image4,1.0,Image4,1956.0,7,23,female,9
218,579,1010,Image5,1.0,Image5,1796.0,9,23,female,23
219,580,1010,Image2,1.0,Image2,4145.0,41,23,female,27
220,581,1010,Image3,1.0,Image3,5478.0,45,23,female,33
221,582,1010,Image1,1.0,Image1,3590.0,18,23,female,34
