Subject CorResp Acc Resp RT Diapo Age_year Gender
543 1010 Image6 1 Image6 8506 14 23 female
544 1010 Image6 1 Image6 9745 36 23 female
545 1010 Image2 1 Image2 2029 5 23 female
546 1010 Image5 1 Image5 3786 40 23 female
547 1010 Image4 1 Image4 6624 21 23 female
548 1010 Image2 1 Image2 12320 33 23 female
549 1010 Image4 1 Image4 7805 1 23 female
550 1010 Image3 1 Image3 16185 2 23 female
551 1010 Image4 1 Image4 4107 3 23 female
552 1010 Image6 0 Image1 11137 38 23 female
553 1010 Image6 1 Image6 3033 43 23 female
554 1010 Image4 1 Image4 3856 23 23 female
555 1010 Image2 1 Image2 1476 17 23 female
556 1010 Image5 1 Image5 2992 8 23 female
557 1010 Image3 1 Image3 2416 24 23 female
558 1010 Image6 1 Image6 9209 32 23 female
559 1010 Image1 1 Image1 2550 11 23 female
560 1010 Image4 1 Image4 4009 27 23 female
561 1010 Image3 1 Image3 2082 26 23 female
562 1010 Image5 1 Image5 2216 30 23 female
563 1010 Image6 1 Image6 10227 34 23 female
564 1010 Image2 1 Image2 1648 10 23 female
565 1010 Image4 0 Image2 25859 44 23 female
566 1010 Image3 1 Image3 2774 42 23 female
567 1010 Image5 0 Image6 8257 6 23 female
568 1010 Image1 1 Image1 3048 12 23 female
569 1010 Image5 1 Image5 4108 13 23 female
570 1010 Image1 0 Image6 4589 39 23 female
571 1010 Image2 1 Image2 3588 31 23 female
572 1010 Image1 0 Image5 9552 19 23 female
573 1010 Image3 0 Image6 4578 20 23 female
574 1010 Image2 1 Image2 5388 25 23 female
575 1010 Image6 1 Image6 3086 16 23 female
576 1010 Image6 1 Image6 2382 29 23 female
577 1010 Image5 1 Image5 2371 15 23 female
578 1010 Image4 1 Image4 1956 7 23 female
579 1010 Image5 1 Image5 1796 9 23 female
580 1010 Image2 1 Image2 4145 41 23 female
581 1010 Image3 1 Image3 5478 45 23 female
582 1010 Image1 1 Image1 3590 18 23 female
583 1010 Image5 0 Image6 9382 22 23 female
584 1010 Image1 1 Image1 9893 35 23 female
585 1010 Image1 1 Image1 1547 4 23 female
586 1011 Image4 1 Image4 4394 44 18 male
587 1011 Image2 1 Image2 1822 17 18 male
588 1011 Image6 1 Image6 10568 16 18 male
589 1011 Image6 NA NaN NA 34 18 male
590 1011 Image6 1 Image6 6626 32 18 male
591 1011 Image6 1 Image6 5018 14 18 male
592 1011 Image3 1 Image3 3697 26 18 male
593 1011 Image6 1 Image6 5140 38 18 male
594 1011 Image5 1 Image5 5062 8 18 male
595 1011 Image3 1 Image3 3119 42 18 male
596 1011 Image3 1 Image3 7517 45 18 male
597 1011 Image1 1 Image1 2599 4 18 male
598 1011 Image2 1 Image2 3622 41 18 male
599 1011 Image3 1 Image3 5518 20 18 male
600 1011 Image3 1 Image3 5820 28 18 male
